0,744684,779281,771510,769171,767014,784850,780784,199510,0,0,0,0,0,0,0
0,764574,772772,758554,773858,781885,773032,782457,0,0,0,0,0,0,0,0
0,772417,772187,778585,759365,783656,780676,769695,0,0,0,0,0,0,0,0
0,781444,783273,770152,787629,788032,780896,788824,0,0,0,0,0,0,0,0
0,761708,763869,758863,783402,782186,784389,768302,0,0,0,0,0,0,0,0
0,783354,784364,784902,789665,780039,789003,781121,0,0,0,0,0,0,0,0
0,742627,745077,759370,762853,758829,759950,774202,0,0,0,0,0,0,0,0
0,784820,769755,784028,789038,788123,780303,788252,0,0,0,0,0,0,0,0
780481,783146,769714,785120,780645,788838,789372,789627,0,0,0,0,0,0,0,0
751489,736591,759515,743206,774382,750475,773889,764131,0,0,0,0,0,0,0,0
779583,762278,783957,784486,789386,780462,786559,787925,0,0,0,0,0,0,0,0
751757,772111,772061,776693,773874,782763,759768,783719,0,0,0,0,0,0,0,0
778570,782400,784550,783339,779449,781226,788510,789475,0,0,0,0,0,0,0,0
764284,759320,766733,748650,783594,782592,785407,774826,0,0,0,0,0,0,0,0
757264,765180,775114,773487,782969,782393,774281,772230,0,0,0,0,0,0,0,0
748562,773404,760429,777699,781048,783989,775449,767546,0,0,0,0,0,0,0,0
