WordHex,EA,Col1,Row1,Col2,Row2,DataBCID
0x8B80291DE5,0,5,12,0,1,1166
0xFFE0800087,3,15,15,0,4,0
0x8B80295027,0,5,12,0,1,1192
0xFFE0800025,3,15,15,0,4,0
0x8B80299070,0,5,12,0,1,1224
0xFFE080009C,3,15,15,0,4,0
0x8B8029D0A8,0,5,12,0,1,1256
0xCDC061509B,2,6,14,0,3,168
0xFFE08001A2,3,15,15,0,4,0
0x8B802A10BA,0,5,12,0,1,1288
0x90808175CB,0,8,4,0,4,186
0xFFE08001F3,3,15,15,0,4,0
0x8B802A50D2,0,5,12,0,1,1320
0xEDE061A5B8,3,6,15,0,3,210
0xFFE08001F0,3,15,15,0,4,0
0x8B802A910C,0,5,12,0,1,1352
0xFFE08000BB,3,15,15,0,4,0
0x8B802AD125,0,5,12,0,1,1384
0xFFE080004D,3,15,15,0,4,0
0x8B802B5137,0,5,12,0,1,1448
0xFFE080006F,3,15,15,0,4,0
0x8B802B5139,0,5,12,0,1,1448
0xFFE080000B,3,15,15,0,4,0
0x8B802B91A6,0,5,12,0,1,1480
0xFFE0800076,3,15,15,0,4,0
0x8B802BD1DE,0,5,12,0,1,1512
0xFFE08000E1,3,15,15,0,4,0
0x8B802C11E7,0,5,12,0,1,1544
0xFFE0800026,3,15,15,0,4,0
0x8B802C5268,0,5,12,0,1,1577
0xFFE0800004,3,15,15,0,4,0
0x8B802C928F,0,5,12,0,1,1609
0xFFE08000D3,3,15,15,0,4,0
0x8B802CD2AF,0,5,12,0,1,1641
0xFFE0800073,3,15,15,0,4,0
0x8B802D12D9,0,5,12,0,1,1673
0xFFE080000E,3,15,15,0,4,0
0x8B802D52E6,0,5,12,0,1,1705
0xFFE08000BE,3,15,15,0,4,0
0x8B802DD302,0,5,12,0,1,1769
0xFFE08000D8,3,15,15,0,4,0
0x8B802DD303,0,5,12,0,1,1769
0xFFE0800075,3,15,15,0,4,0
0x8B802E5376,0,5,12,0,1,1833
0xFFE080002A,3,15,15,0,4,0
0x8B802ED37A,0,5,12,0,1,1897
0xFFE0800041,3,15,15,0,4,0
0x8B802F137C,0,5,12,0,1,1929
0xFFE080006D,3,15,15,0,4,0
0x8B802F137D,0,5,12,0,1,1929
0xFFE08000C0,3,15,15,0,4,0
0x8B802F1384,0,5,12,0,1,1929
0xFFE08000ED,3,15,15,0,4,0
0x8B802F9399,0,5,12,0,1,1993
0xFFE08000F2,3,15,15,0,4,0
0x8B802F939B,0,5,12,0,1,1993
0xFFE0800087,3,15,15,0,4,0
0x8B802FD3E5,0,5,12,0,1,2025
0xFFE080008F,3,15,15,0,4,0
0x8B8030145C,0,5,12,0,1,2058
0xADA068B9C2,1,6,13,0,3,1116
0xFFE08002A2,3,15,15,0,4,1
0x8B8030547C,0,5,12,0,1,2090
0xD0C088F981,2,8,6,0,4,1148
0xFFE0800116,3,15,15,0,4,0
0x8B8030949B,0,5,12,0,1,2122
0xFFE0800021,3,15,15,0,4,0
0x8B8030D4A8,0,5,12,0,1,2154
0xADA06951C3,1,6,13,0,3,1192
0xFFE080012E,3,15,15,0,4,0
0x8B803114F8,0,5,12,0,1,2186
0xFFE08001F0,3,15,15,0,4,0
0x8B80315545,0,5,12,0,1,2218
0xFFE0800044,3,15,15,0,4,0
0x8B8031D58E,0,5,12,0,1,2282
0xE0E00B1D16,3,0,7,0,0,1422
0xFFE08001A5,3,15,15,0,4,0
0x8B8031D592,0,5,12,0,1,2282
0x9480AB25BD,0,10,4,0,5,1426
0xFFE08001C7,3,15,15,0,4,0
0x8B803215BC,0,5,12,0,1,2314
0xFFE0800067,3,15,15,0,4,0
0x8B803255C8,0,5,12,0,1,2346
0xCCC06B9070,2,6,6,0,3,1480
0xFFE0800188,3,15,15,0,4,0
0x8B803295D6,0,5,12,0,1,2378
0xFFE080001B,3,15,15,0,4,0
0x8B8032D5F5,0,5,12,0,1,2410
0xFFE0800063,3,15,15,0,4,0
0x8B80335626,0,5,12,0,1,2475
0xFFE080002F,3,15,15,0,4,0
0x8B8033562A,0,5,12,0,1,2475
0xFFE080003E,3,15,15,0,4,0
0x8B8033969F,0,5,12,0,1,2507
0xFFE0800050,3,15,15,0,4,0
0x8B8033D6BC,0,5,12,0,1,2539
0xFFE0800028,3,15,15,0,4,0
0x8B803496D3,0,5,12,0,1,2635
0xFFE08000C6,3,15,15,0,4,0
0x8B803496D5,0,5,12,0,1,2635
0xFFE0800059,3,15,15,0,4,0
0x8B803496D7,0,5,12,0,1,2635
0xFFE080002C,3,15,15,0,4,0
0x8B803516E3,0,5,12,0,1,2699
0xFFE080000C,3,15,15,0,4,0
0x8B803516E4,0,5,12,0,1,2699
0xFFE080003E,3,15,15,0,4,0
0x8B8035D6FA,0,5,12,0,1,2795
0xFFE08000C4,3,15,15,0,4,0
0x8B8035D6FC,0,5,12,0,1,2795
0xFFE080005B,3,15,15,0,4,0
