Metric,Value
reconstructed,1349378339
duplicate_consecutive,33
raw_headers,0
raw_data,1280824286
raw_trailers,68554053
raw_fillers,0
raw_unknown,0
accepted_headers,0
accepted_data,1280824253
accepted_trailers,0
accepted_fillers,0
accepted_unknown,68554053
fake_trailers,68554053
words_before_header,1349378306
orphan_data,0
boundary_cuts,0
l1_jump_discarded,0
committed_data,0
ea_pass,0
intra_pass,0
bcid_pass,0
intra_bcid_pass,0
final_pass,0
