example,word_position,role,word_hex_40bit,l1_counter,type,bcid,chip_id,status,hits,crc_field,event_crc_check
27,54,Next Header,0x3C5C090BCC,36,0,3020,,,,,PASS
28,54,Header,0x3C5C090BCC,36,0,3020,,,,,PASS
28,55,Trailer,0x7FFF8000D3,,,,131070,0,0,0xD3,PASS
28,56,Next Header,0x3C5C094C32,37,0,3122,,,,,PASS
29,56,Header,0x3C5C094C32,37,0,3122,,,,,PASS
29,57,Trailer,0x7FFF800072,,,,131070,0,0,0x72,PASS
29,58,Next Header,0x3C5C098C98,38,0,3224,,,,,PASS
30,58,Header,0x3C5C098C98,38,0,3224,,,,,PASS
30,59,Trailer,0x7FFF80000C,,,,131070,0,0,0x0C,PASS
30,60,Next Header,0x3C5C09CCFE,39,0,3326,,,,,PASS
31,60,Header,0x3C5C09CCFE,39,0,3326,,,,,PASS
31,61,Trailer,0x7FFF800026,,,,131070,0,0,0x26,PASS
31,62,Next Header,0x3C5C0A0D64,40,0,3428,,,,,PASS
32,62,Header,0x3C5C0A0D64,40,0,3428,,,,,PASS
32,63,Trailer,0x7FFF80007B,,,,131070,0,0,0x7B,PASS
32,64,Next Header,0x3C5C0A4DCA,41,0,3530,,,,,PASS
33,64,Header,0x3C5C0A4DCA,41,0,3530,,,,,PASS
33,65,Trailer,0x7FFF800095,,,,131070,0,0,0x95,PASS
33,66,Next Header,0x3C5C0A8044,42,0,68,,,,,PASS
34,66,Header,0x3C5C0A8044,42,0,68,,,,,PASS
34,67,Trailer,0x7FFF800049,,,,131070,0,0,0x49,PASS
34,68,Next Header,0x3C5C0AC0AA,43,0,170,,,,,PASS
35,68,Header,0x3C5C0AC0AA,43,0,170,,,,,PASS
35,69,Trailer,0x7FFF8000B2,,,,131070,0,0,0xB2,PASS
35,70,Next Header,0x3C5C0B0110,44,0,272,,,,,PASS
36,70,Header,0x3C5C0B0110,44,0,272,,,,,PASS
36,71,Trailer,0x7FFF8000B5,,,,131070,0,0,0xB5,PASS
36,72,Next Header,0x3C5C0B4176,45,0,374,,,,,PASS
