91456,91552,91768,91530,91412,91991,91555,91879,0,0,0,0,0,0,0,0
91921,92032,91241,92120,92268,92518,91841,91863,0,0,0,0,0,0,0,0
91860,91320,91085,91178,91697,91620,91437,91688,0,0,0,0,0,0,0,0
91572,91127,91720,91710,92139,92157,92078,92467,0,0,0,0,0,0,0,0
91581,91067,91549,91325,91890,91613,91813,91086,0,0,0,0,0,0,0,0
91722,91768,91693,91993,92226,92217,92232,92284,0,0,0,0,0,0,0,0
91638,91235,91242,91227,91871,91585,91823,91329,0,0,0,0,0,0,0,0
91161,91856,91670,91942,92276,92303,92497,92777,0,0,0,0,0,0,0,0
91638,91613,91005,91663,91864,91928,92746,92505,0,0,0,0,0,0,0,0
91465,91099,90587,91317,92052,91621,91107,91081,0,0,0,0,0,0,0,0
91754,91629,91695,91550,92153,91539,92399,92512,0,0,0,0,0,0,0,0
91194,91688,91759,90739,91801,92255,91892,91920,0,0,0,0,0,0,0,0
91681,91923,91347,90962,91924,92307,91989,92480,0,0,0,0,0,0,0,0
90643,90618,91232,91557,91792,91891,91293,91786,0,0,0,0,0,0,0,0
91540,91637,91723,91880,91424,91938,92392,92144,0,0,0,0,0,0,0,0
91756,90762,91159,91442,91500,91902,91556,91924,0,0,0,0,0,0,0,0
